id||seq_test||seq_out
166||O O O O O O O B-airline_name I-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name O O O O O O B-stoploc.city_name||O O O O O O O B-airline_name I-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name B-toloc.country_name O O O O O O B-stoploc.city_name
168||O O O O B-fromloc.city_name I-city_name O||O O O B-mod B-city_name B-state_name O
174||O O O O O O O B-airline_name O O B-meal_description I-meal_description O O B-economy||O O O O O O O B-airline_name O O B-meal_description I-meal_description O O B-compartment
175||O B-meal I-meal B-meal_code O O O O||O O O B-meal_code O O O O
179||O O O O O O B-airline_name O B-depart_date.day_name I-depart_date.day_name||O O O O O O B-airline_name O B-day_name I-day_name
189||O O O O O B-fromloc.city_name O O B-toloc.city_name B-arrive_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time||O O O O O B-fromloc.city_name O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time
190||B-fromloc.airport_name I-fromloc.airport_name O B-fromloc.city_name O O O O||B-airport_name I-airport_name O B-city_name O O O O
191||B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O O O||B-airport_name I-airport_name I-airport_name O O O O
192||B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O O O||B-airport_name I-airport_name I-airport_name I-airport_name O O O O
193||B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O O O||B-airport_name I-airport_name I-airport_name I-airport_name O O O O
204||O O O B-round_trip B-class_type I-class_type O B-fromloc.city_name B-fromloc.city_name O B-toloc.city_name O O||O O O B-round_trip B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name O O
229||O O O O O O O O O B-flight_number O B-airline_name I-airline_name I-airline_name I-airline_name O B-fromloc.city_name O B-toloc.airport_code||O O O O O O O O O B-flight_number O B-airline_name I-airline_name I-airline_name I-airline_name O B-fromloc.airport_code O B-toloc.airport_code
231||O O O O O O B-mod O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name||O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-city_name
232||O O O O O B-fromloc.airport_name I-fromloc.airport_name O B-fromloc.city_name O O B-toloc.city_name I-toloc.city_name O O B-mod||O O O O O B-fromloc.airport_name I-fromloc.airport_name O B-fromloc.city_name O O B-city_name I-city_name O O O
233||O O O O O O B-mod O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name I-toloc.city_name||O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-city_name I-city_name
234||O O O O O O B-mod O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name I-toloc.city_name||O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name I-toloc.city_name
244||O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name O O B-airline_name B-aircraft_code||O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name O O O B-aircraft_code
258||O O O O O O O B-fromloc.city_name I-fromloc.city_name B-fromloc.state_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name O B-depart_date.day_name I-depart_date.day_name O O||O O O O O O O B-fromloc.city_name I-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name B-toloc.state_name O B-depart_date.day_name I-depart_date.day_name O O
292||O O O O O O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name||O O O O O O O O O O B-fromloc.city_name B-toloc.city_name O B-toloc.city_name
313||O O O O O O O O O O O B-city_name O B-period_of_day B-day_name I-arrive_date.day_name||O O O O O O O O O O O B-city_name O B-period_of_day B-day_name I-day_name
315||O O O O O O O O O O O O O O B-toloc.city_name O B-arrive_time.period_of_day B-arrive_time.period_mod||O O O O O O O O O O O O O O B-city_name O B-period_of_day I-period_of_day
318||O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-airline_name I-airline_name I-airline_name I-airline_name I-airline_name I-airline_name I-airline_name O B-airline_name I-airline_name||O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-airline_name I-airline_name I-airline_name B-airline_name I-airline_name B-airline_name I-airline_name O B-airline_name I-airline_name
323||O O O O O B-flight_mod I-meal_description O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day I-depart_time.period_of_day B-depart_date.day_name O B-airline_name I-airline_name||O O O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day I-depart_time.period_of_day B-depart_date.day_name O B-airline_name I-airline_name
326||B-airport_code O O||B-airline_code O O
362||B-airport_code I-city_name O O O O||B-mod B-days_code O O O O
367||O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name I-toloc.city_name||O O O O O O B-airport_name I-airport_name O O B-city_name I-city_name
371||O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name I-toloc.city_name||O O O O O O B-airport_name I-airport_name O O B-city_name I-city_name
373||O O O O O B-fromloc.city_name O B-toloc.city_name O O I-airline_name B-aircraft_code O||O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-aircraft_code O
375||O O O O O O O B-fromloc.city_name O B-toloc.city_name||O O O O O O O B-fromloc.city_name O B-toloc.state_name
377||O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name I-toloc.city_name||O O O O O O O B-airport_name I-airport_name O O B-city_name I-city_name
379||O O O O O O O O B-fromloc.airport_code O O B-toloc.city_name I-toloc.city_name||O O O O O O O O B-airport_code O O B-city_name I-city_name
380||O O O O O O B-fromloc.airport_code O B-toloc.city_name||O O O O O O B-airport_code O B-city_name
381||O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name I-toloc.city_name||O O O O O O B-airport_name I-airport_name O O B-city_name I-city_name
383||O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-depart_time.period_of_day I-depart_time.period_of_day O O B-flight_mod I-flight_mod O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time O O O O O B-flight_stop I-flight_stop||O O O O O B-fromloc.city_name O B-toloc.city_name O O O O O B-depart_time.period_of_day I-depart_time.period_of_day O O O O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time O O O O O B-flight_stop I-flight_stop
412||O O O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative I-flight_mod O B-arrive_time.time I-arrive_time.time I-arrive_time.time||O O O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative I-arrive_time.time_relative O B-arrive_time.time I-arrive_time.time I-arrive_time.time
413||O O O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time_relative I-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time||O O O O O O B-fromloc.city_name O B-toloc.city_name O B-arrive_time.time_relative I-arrive_time.time_relative I-arrive_time.time_relative B-arrive_time.time I-arrive_time.time I-arrive_time.time
467||O O O O O O O I-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name||O O O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name
472||O O O O O O O B-fromloc.city_name O B-toloc.city_name||O O O O O O O B-fromloc.city_name O B-toloc.airport_code
480||O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name||O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.airport_code
485||O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.time I-arrive_time.time O B-depart_date.day_name I-depart_date.day_name||O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-depart_time.period_of_day I-depart_time.period_of_day O B-depart_date.day_name I-depart_date.day_name
501||O O O O O B-city_name B-fromloc.state_name O B-city_name||O O O O O B-state_name B-state_name O B-state_name
502||O O O O B-city_name I-city_name I-city_name||O O O O B-state_name B-state_name B-state_name
503||O O O O O O B-city_name||O O O O O O B-state_name
504||O O O O B-city_name||O O O O B-state_name
506||O O O O B-city_name I-city_name||O O O O B-state_name I-state_name
512||O O O B-airline_code O O||O O O B-airport_code O O
519||O O O O O B-fromloc.city_name B-fromloc.city_name O B-toloc.city_name||O O O O O B-fromloc.city_name B-fromloc.state_name O B-toloc.city_name
620||O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name||O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
621||O O O O O O O O O B-toloc.city_name B-toloc.state_name||O O O O O O O O O B-city_name I-city_name
630||O B-fare_basis_code||O B-city_name
632||O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name||O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name
634||O O O O O O O B-fromloc.city_name I-fromloc.city_name B-fromloc.state_name B-fromloc.state_name O B-toloc.city_name||O O O O O O O B-fromloc.city_name I-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name
635||O O O O O O O B-fromloc.city_name B-fromloc.state_name B-connect O B-toloc.city_name I-toloc.city_name||O O O O O O O B-fromloc.city_name B-fromloc.state_name I-fromloc.state_name O B-toloc.city_name I-toloc.city_name
642||O O O O O O B-round_trip O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name O O O O O I-return_date.day_number B-return_date.date_relative||O O O O O O B-round_trip O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name O O O O O B-return_date.day_name B-return_date.date_relative
643||O O O O O O B-fare_basis_code O O||O O O O O O B-booking_class O O
691||O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name||O O B-airline_name I-airline_name I-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name
741||O O O O O O O B-airline_name I-airline_name I-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name||O O O O O O O B-airline_name I-airline_name I-airline_name I-airline_name O B-fromloc.airport_code O B-toloc.city_name
749||O O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name O O||O O O O O O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name O B-round_trip
750||O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code||O O B-flight_mod I-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code
751||O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code||O O B-flight_mod I-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code
752||O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O||O O B-flight_mod I-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O O O O
753||O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name||O O B-flight_mod I-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name
754||O O O B-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name||O O B-flight_mod I-flight_mod I-flight_mod O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name
759||O O O O O O O B-aircraft_code B-aircraft_code B-flight_number O O||O O O O O O O B-aircraft_code I-aircraft_code I-aircraft_code O O
760||O O O O O O B-aircraft_code B-aircraft_code B-flight_number O O||O O O O O O B-aircraft_code I-aircraft_code I-aircraft_code O O
761||O O B-aircraft_code B-flight_number O O O O O||O O B-aircraft_code I-aircraft_code O O O O O
764||O O O O O O B-aircraft_code B-flight_number O O||O O O O O O B-aircraft_code I-aircraft_code O O
765||O O O O O O O B-toloc.city_name||O O O O O O O B-city_name
766||O O O O O O O O O O O B-or O O B-fromloc.city_name||O O O O O O O O O O O B-or O O B-city_name
769||O O O O O B-aircraft_code B-flight_number O O||O O O O O B-aircraft_code I-aircraft_code O O
770||B-airline_code B-flight_number O O||B-aircraft_code I-aircraft_code O O
772||O O O O B-airport_code B-aircraft_code O O||O O O O B-aircraft_code I-aircraft_code O O
773||O O B-aircraft_code B-aircraft_code O O O O||O O B-aircraft_code I-aircraft_code O O O O
781||O O O O O O O O O B-airline_code B-aircraft_code||O O O O O O O O O B-aircraft_code I-aircraft_code
785||O O O O O O O O B-or O O B-fromloc.city_name O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time||O O O O O O O O B-or O O B-city_name O B-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time I-depart_time.end_time
790||O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O O O O O O O B-arrive_time.time I-arrive_time.time I-arrive_time.time I-arrive_time.time O B-arrive_time.period_of_day I-arrive_time.period_of_day||O O O O O O O B-airport_name I-airport_name O O O O O O O O B-arrive_time.time I-arrive_time.time I-arrive_time.time I-arrive_time.time O B-arrive_time.period_of_day I-arrive_time.period_of_day
792||B-airline_code O O||B-airport_code O O
793||O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name I-toloc.city_name O||O O O O O O O O B-airport_name I-airport_name O B-city_name I-city_name O
794||O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O||O O O O O B-airport_code O B-city_name I-city_name O
795||O O O O O O O O B-fromloc.airport_code O B-toloc.city_name I-toloc.city_name||O O O O O O O O B-airport_code O B-city_name I-city_name
796||O O O O O O B-fromloc.airport_code O B-toloc.city_name I-toloc.city_name||O O O O O O B-airport_code O B-city_name I-city_name
811||O O O O O B-flight_mod O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day I-depart_time.period_of_day||O O O O O B-depart_time.period_mod O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_of_day I-depart_time.period_of_day
830||O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name||O O O O B-fromloc.airport_name O B-toloc.city_name O B-airline_name I-airline_name
832||O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_name O B-depart_date.day_name I-depart_date.day_name||O O O O B-fromloc.city_name I-fromloc.city_name B-fromloc.state_name O B-toloc.city_name B-toloc.state_name O B-depart_date.day_name I-depart_date.day_name
874||O O O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name O O O O O B-stoploc.city_name O I-flight_stop I-depart_time.time_relative O O B-fare_amount I-fare_amount O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name B-depart_date.year I-depart_date.year||O O O O O O B-round_trip O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name O O O O O B-stoploc.city_name B-cost_relative I-cost_relative I-cost_relative O O B-fare_amount I-fare_amount O B-depart_date.day_number I-depart_date.day_number B-depart_date.month_name I-depart_date.month_name B-depart_date.year I-depart_date.year
889||O O O O O O O B-fromloc.city_name O O O O B-stoploc.city_name I-toloc.airport_name||O O O O O O O B-fromloc.city_name O O O O B-toloc.city_name I-toloc.city_name
